latitude,longitude,name,year,status
15.4324651,75.6380337,Gadag Institute of Medical Sciences,2015,Recognized
26.1921564,78.1646376,Gajra Raja Medical College,1946,Recognized
17.4246955,78.5044658,Gandhi Medical College,1955,Recognized
23.2599204,77.3923503,Gandhi Medical College,1954,Recognized
26.1598564,91.7685083,Gauhati Medical College,1960,Recognized
23.0384544,72.6103121,GCS Medical College,2011,Recognized
24.58,73.68,Geetanjali Medical College and Hospital,2008,Recognized
30.34,76.38,Gian Sagar Medical College and Hospital,2007,Recognized
17.7849371,83.374976,GITAM Institute of Medical Sciences and Research,2015,Recognized
23.8476,72.1927,GMERS Medical College,2012,Recognized
23.2192671,72.639429,GMERS Medical College,2012,Recognized
22.3137194,73.1486058,GMERS Medical College,2011,Recognized
23.6036268,72.9639461,GMERS Medical College,2015,Recognized
21.5354037,70.4623507,GMERS Medical College,2015,Recognized
23.847629,72.1927018,GMERS Medical College,2011,Recognized
20.594039,72.9220638,GMERS Medical College,2012,Recognized
15.4991261,73.8211375,Goa Medical College,1963,Recognized
28.277082,77.454949,Gold Field Institute of Medical Sciences and Research,2011,Not Recognized
12.1065271,78.1361409,Government Dharmapuri Medical College,2008,Recognized
14.6722905,77.5988339,Government Medical College,2013,Recognized
18.6736261,78.0991537,Government Medical College,2001,Recognized
26.7956792,84.4996986,Government Medical College,2002,Recognized
30.7121311,76.7799366,Government Medical College,1943,Recognized
21.0824,80.975683,Government Medical College,2000,Recognized
21.7687381,72.1369852,Government Medical College,1956,Recognized
21.1782618,72.8202474,Government Medical College,2013,Recognized
32.7360124,74.8540027,Government Medical College,1995,Recognized
34.0859652,74.7988339,Government Medical College,1991,Recognized
12.3164153,76.6505743,Government Medical College,1972,Recognized
9.5982264,76.5168481,Government Medical College,2012,Recognized
11.2781501,75.8381435,Government Medical College,1992,Recognized
11.041,76.083,Government Medical College,1960,Recognized
9.8138076,76.9297354,Government Medical College,1957,Recognized
10.6133473,76.1991958,Government Medical College,2002,Recognized
10.7867303,76.6547932,Government Medical College,2013,Recognized
20.7009704,76.9999467,Government Medical College,1962,Recognized
19.8930198,75.3185466,Government Medical College,1924,Recognized
18.394439,76.5780815,Government Medical College,1947,Recognized
16.8165015,74.6424728,Government Medical College,2013,Recognized
21.1539151,79.0928952,Government Medical College,2015,Recognized
31.6392631,74.883789,Government Medical College,2014,Recognized
30.3276874,76.3861562,Government Medical College,1953,Recognized
25.2138156,75.8647527,Government Medical College,2014,Recognized
13.0674,80.2774,Government Medical College,1959,Recognized
27.0514156,79.9136731,Government Medical College,1964,Recognized
29.218264,79.512977,Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.),1981,Recognized
26.0737044,83.1859458,Government Medical College and Super facility Hospital,2014,Recognized
16.5170123,80.6716552,Government Siddhartha Medical College,1980,Recognized
9.8394658,78.4791016,Government Sivgangai Medical College,2012,Recognized
12.2766354,79.0731274,Government Thiruvannamalai Medical College,2013,Recognized
12.9165167,79.1324986,Government Vellore Medical College,2005,Recognized
11.941,79.493,Government Villupuram Medical College,2010,Recognized
10.0535175,76.3557693,Govt. Medical College,2000,Recognized
19.0021712,72.8427055,Grant Medical College,1845,Recognized
18.2969747,83.8967813,Great Eastern Medical School and Hospital,2010,Recognized
17.067369,81.884279,GSL Medical College,2002,Recognized
26.4800134,80.3062391,GSVM Medial College,1955,Recognized
23.240843,69.674766,Gujarat Adani Institute of Medical Sciences,2009,Recognized
17.329731,76.8342957,Gulbarga Institute of Medical Sciences,2015,Recognized
16.2981161,80.4378676,Guntur Medical College,1946,Recognized
30.6812546,74.7476056,Guru Govind Singh Medical College,1973,Recognized
28.5142672,77.2502141,Hamdard Institute of Medical Sciences and Research,2012,Not Recognized
13.0068142,76.0995519,Hassan Institute of Medical Sciences,2006,Recognized
25.26189,82.909097,Heritage Institute of Medical Sciences,2015,Recognized
30.19175,78.166063,Himalayan Institute of Medical Sciences,1995,Recognized
27.5839037,80.666356,Hind Institute of Medical Sciences,2009,Recognized
26.9400001,81.19,Hind Institute of Medical Sciences ,2015,Recognized
20.2900418,85.858907,Hi-Tech Medical College and Hospital,2005,Recognized
22.223584,84.8296273,Hi-Tech Medical College and Hospital,2012,Not Recognized
22.0639805,88.0360249,ICARE Institute of Medical Sciences and Research,2011,Recognized
22.7195687,75.8577258,Index Medical College Hospital and Research Centre,2007,Recognized
19.8296893,75.8800305,Indian Institute of Medical Science and Research,2013,Recognized
25.6116875,85.0895694,Indira Gandhi Institute of Medical Sciences,2011,Recognized
31.1071605,77.1831203,Indira Gandhi Medical College,1968,Recognized
21.1539151,79.0928952,Indira Gandhi Medical College and Hospital,2010,Recognized
11.9399325,79.7966402,Indira Gandhi Medical College and Research Institute,1966,Recognized
17.69139,74.00092,Institute of Medical Science and Research,2012,Not Recognized
25.2744547,82.9995254,Institute of Medical Sciences,1960,Recognized
22.5394793,88.3418445,Institute of Postgraduate Medical Education and Research,1957,Recognized
20.2829652,85.769739,Instt. Of Medical Sciences and SUM Hospital,2007,Recognized
26.9579418,81.0025889,Integral Institute of Medical Sciences and Research,2013,Not Recognized
23.2324214,87.8614793,IQ-City Medical College,2013,Recognized
11.2808275,77.5674944,IRT Perundurai Medical College,1992,Recognized
11.95473,79.797383,Jawaharlal Institute of Postgraduate Medical Education and Research,1956,Recognized
24.8111729,93.9616995,Jawaharlal Nehru Institute of Medical Sciences,2010,Recognized
25.2642025,87.0021281,Jawaharlal Nehru Medical College,1965,Recognized
15.8833438,74.5177877,Jawaharlal Nehru Medical College,1961,Recognized
20.715722,78.5753084,Jawaharlal Nehru Medical College,1963,Recognized
26.4695687,74.6360174,Jawaharlal Nehru Medical College,1971,Recognized
27.9190459,78.0860521,Jawaharlal Nehru Medical College,1990,Recognized
24.586774,76.1606215,Jhalawar Medical College,2008,Recognized
14.4554396,75.9169275,JJM Medical College,1965,Recognized
26.7317232,94.2208196,Jorhat Medical College and Hospital ,2010,Recognized
12.3444405,76.6527271,JSS Medical College,1984,Recognized
10.5276416,76.2144349,Jubilee Mission Medical College and Research Institute,2002,Recognized
10.7904833,78.7046725,K A P Viswanathan Government Medical College,1998,Recognized
12.8096253,74.8835528,K S Hegde Medical Academy,1999,Recognized
12.5555711,75.3865775,K V G Medical College,1999,Recognized
21.7132585,71.870474,K.J. Mehta General Hospital and College of Medical Sciences,2009,Not Recognized
18.0023276,79.5898413,Kakatiya Medical College,1959,Recognized
20.3533764,85.8148564,Kalinga Institute of Medical Sciences,2007,Recognized
17.385044,78.486671,Kamineni Academy of Medical Sciences and Research Center,2013,Recognized
17.1981491,79.2145166,Kamineni Institute of Medical Sciences,1999,Recognized
11.8774826,75.4975126,Kannur Medical College,2006,Recognized
8.1738925,77.3938483,KanyaKumari Government Medical College,2003,Recognized
15.3628669,75.1325154,Karnataka Institute of Medical Sciences,1957,Recognized
12.6023962,79.9080757,Karpaga Vinayaga Institute of Medical Sciences,2009,Recognized
11.0168445,76.9558321,Karpagam Faculty of Medical Sciences and Research,2012,Recognized
10.6804064,76.7584765,Karuna Medical College,2006,Recognized
12.8704347,74.8445053,Kasturba Medical College,1955,Recognized
13.3539525,74.7890187,Kasturba Medical College,1953,Recognized
25.5826437,87.5455424,Katihar Medical College,1987,Recognized
16.2278702,80.3094719,Katuri Medical College,2002,Recognized
12.9270046,77.5616361,Kempegowda Institute of Medical Sciences,1980,Recognized
23.022505,72.5713621,Kesarsal Medical College and Research Institute,2003,Recognized
17.329731,76.8342957,Khaja Banda Nawaz Institute of Medical Sciences,2000,Recognized
13.0784019,80.2428746,Kilpauk Medical College,1960,Recognized
19.0470691,72.8745866,KJ Somaiyya Medical College and Research Centre,1991,Recognized
11.2587531,75.78041,KMCT Medical College,2008,Recognized
16.5720904,82.0008548,Konaseema Institute of Medical Sciences and Research Foundation,2005,Recognized
15.3507081,76.1554311,Koppal Institute of Medical Sciences,2015,Recognized
22.4943589,88.371309,KPC Medical College,2008,Recognized
17.2759841,74.2003231,Krishna Institute of Medical Sciences,1984,Recognized
15.8220616,78.0392307,Kurnool Medical College,1957,Recognized
23.2650141,77.4007211,L.N. Medical College and Research Centre,2009,Recognized
28.6350845,77.2124919,Lady Hardinge Medical College,1916,Recognized
19.07,82.03,Late Shri Baliram Kashyap Memorial NDMC Govt. Medical College,2006,Recognized
21.8974,83.394963,Late Shri Lakhi Ram Agrawal Memorial Govt. Medical College,2013,Recognized
28.9618167,77.7552218,LLRM Medical College,1966,Recognized
19.0759837,72.8776559,Lokmanya Tilak Municipal Medical College,1964,Recognized
25.870556,86.601389,Lord Buddha Koshi Medical College and Hospital,2012,Not Recognized
10.9572396,76.1756748,M E S Medical College ,2002,Recognized
22.8439869,86.2320466,M G M Medical College,1948,Recognized
22.7144769,75.8828767,M G M Medical College,1961,Recognized
13.023149,77.612517,M S Ramaiah Medical College,1979,Recognized
13.0043536,80.1121743,Madha Medical College and Hospital,2011,Not Recognized
12.851977,80.241319,Madras Medical College,1835,Recognized
9.9286131,78.1350635,Madurai Medical College,1954,Recognized
17.329731,76.8342957,Mahadevappa Rampure Medical College,1963,Recognized
8.4880363,78.0751774,Mahamaya Rajkiya Allopathic Medical College,2011,Recognized
29.3367051,75.6226273,Maharaja Agrasen Medical College,2002,Recognized
18.1066576,83.3955506,Maharajah Institute of Medical Sciences,2002,Recognized
25.459436,78.6165842,Maharani Laxmi Bai Medical College,1968,Recognized
18.5204303,73.8567437,Maharashtra Institute of Medical Education and Research,1994,Recognized
18.4,76.56,Maharashtra Institute of Medical Sciences and Research,1990,Recognized
30.3781788,76.7766974,Maharishi Markandeshwar Institute Of Medical Sciences and Research,2003,Recognized
30.9044857,77.0967357,Maharishi Markandeshwar Medical College and Hospital,2013,Recognized
20.739287,78.660929,Mahatma Gandhi Institute of Medical Sciences,1969,Recognized
26.9124336,75.7872709,Mahatma Gandhi Medical College and Hospital,2002,Recognized
11.812128,79.778281,Mahatma Gandhi Medical College and Research Institute,2001,Recognized
19.8761653,75.3433139,Mahatma Gandhi Missions Medical College,1989,Recognized
19.0153224,73.0980773,Mahatma Gandhi Missions Medical College,1989,Recognized
27.3826126,79.5940544,Major S D Singh Medical College and Hospital,2011,Not Recognized
11.2705867,75.8378284,Malabar Medical College,2010,Not Recognized
9.982893,76.475647,Malankara Orthodox Syrian Church Medical College,2001,Recognized
24.9953408,88.137984,Malda Medical College and Hospital,2011,Recognized
17.385044,78.486671,Malla Reddy Institute of Medical Sciences,2012,Not Recognized
17.385044,78.486671,Mallareddy Medical College for Womens,2013,Not Recognized
17.2427991,80.1681584,Mamata Medical College,1998,Recognized
12.5277635,76.8992195,Mandya Institute of Medical Sciences,2006,Recognized
26.00864,79.4478858,Manyavar Kanshi Ram Ji Government Allopathic Medical College,2013,Recognized
26.079444,87.937222,Mata Gujri Memorial Medical College,1990,Recognized
28.6380629,77.2362044,Maulana Azad Medical College,1958,Recognized
26.9400001,81.19,Mayo Institute of Medical Sciences,2012,Not Recognized
22.319152,73.1030569,Medical College,1949,Recognized
8.5220732,76.9268541,Medical College,1838,Recognized
22.572388,88.362084,Medical College,1951,Recognized
18.311111,79.872222,Mediciti Institute Of Medical Sciences,2001,Recognized
12.856093,79.7272536,Meenakshi Medical College and Research Institute,2003,Recognized
12.4341947,79.8132151,Melmaruvathur Adiparasakthi Instt. Medical Sciences and Research,2008,Not Recognized
22.4214772,87.3233029,Midnapore Medical College,2001,Recognized
19.3113218,84.8126329,MKCG Medical College,1962,Recognized
17.6294,78.0917,MNR Medical College and Hospital,2002,Recognized
11.6565806,78.1539491,Mohan Kumaramangalam Medical College,1986,Recognized
25.4498115,81.8511225,Moti Lal Nehru Medical College,1961,Recognized
9.2647582,76.7870414,Mount Zion Medical College,2014,Not Recognized
22.477512,70.0655725,MP Shah Medical College,1955,Recognized
24.1759039,88.2801785,Murshidabad Medical College and Hospitals,2012,Recognized
29.3724028,77.7066663,Muzaffarnagar Medical College,2006,Recognized
13.0773473,77.8115237,MVJ Medical College and Research Hospital,1997,Recognized
21.1458004,79.0881546,N. K. P. Salve Instt. of Medical Sciences and Research Centre and Lata Mangeshkar Hospital,1990,Recognized
25.602365,85.1981477,Nalanda Medical College,1970,Recognized
24.949036,84.0314295,Narayan Medical College and Hospital,2008,Recognized
14.4259731,80.0136424,Narayana Medical College,2000,Recognized
26.9124336,75.7872709,National Institute of Medical Science and Research,2004,Recognized
16.2,77.37,Navodaya Medical College,2000,Recognized
23.1491944,79.882257,Netaji Subhash Chandra Bose Medical College,1955,Recognized
22.5618348,88.3706274,Nilratan Sircar Medical College,1948,Recognized
27.0360066,88.2626751,North Bengal Medical College,1968,Recognized
28.6434649,77.2375895,North Delhi Muncipal Corporation Medical College,2013,Recognized
25.5909,91.9372999,North Eastern Indira Gandhi Regional Instt. of Health and Medical Sciences,2008,Recognized
17.6868159,83.2184815,NRI Institute of Medical Sciences,2012,Not Recognized
16.4134692,80.5573864,NRI Medical College,2003,Recognized
17.3822447,78.4845879,Osmania Medical College,1946,Recognized
12.7470314,78.3330157,P E S Institute Of Medical Sciences and Research,2001,Recognized
10.7867303,76.6547932,P K Das Institute of Medical Sciences,2014,Not Recognized
24.504361,73.7642348,Pacific Institute of Medical Sciences,2015,Recognized
24.6688579,73.7023079,Pacific Medical College and Hospital,2014,Recognized
18.5204303,73.8567437,Padmashree Dr. D Y Patil Medical College,1995,Recognized
19.0424364,73.0254459,Padmashree Dr. D.Y.Patil Medical College,1989,Recognized
19.0952075,74.7495916,Padmashri Dr. Vithalrao Vikhe Patil Foundations Medical College,2003,Recognized
22.3049854,70.7985733,Pandit Deendayal Upadhyay Medical College,1995,Recognized
23.810133,86.4665853,Patliputra Medical College,1969,Recognized
25.621667,85.160329,Patna Medical College,1925,Recognized
23.2599333,77.412615,Peoples College of Medical Sciences and Research Centre,2005,Recognized
11.9138598,79.8144722,Pondicherry Institute of Medical Sciences and Research,2000,Recognized
22.5396068,72.8906382,Pramukhswami Medical College,1987,Recognized
18.4385553,79.1288412,Prathima Institute Of Medical Sciences,2001,Recognized
11.021815,76.997535,PSG Institute of Medical Sciences,1985,Recognized
28.8909,76.5796,Pt. B D Sharma Postgraduate Institute of Medical Sciences,1960,Recognized
21.251384,81.629641,Pt. J N M Medical College,1963,Recognized
31.3066818,75.5958218,Punjab Institute of Medical Sciences,2011,Recognized
9.3823848,76.5801831,Pushpagiri Institute Of Medical Sciences and Research Centre,2002,Recognized
24.5883884,73.6951813,R N T Medical College,1961,Recognized
16.2298914,77.3593606,Raichur Institute of Medical Sciences,2007,Recognized
11.3946128,79.7162041,Rajah Muthiah Medical College,1985,Recognized
12.9576323,77.5028676,Rajarajeswari Medical College and Hospital,2005,Recognized
16.6913076,74.2448662,Rajashree Chatrapati Shahu Maharaj Government Medical College,2001,Recognized
23.3923689,85.348265,Rajendra Institute of Medical Sciences,1960,Recognized
19.6641441,78.5247329,Rajiv Gandhi Institute of Medical Sciences,2008,Recognized
14.4673541,78.8241339,Rajiv Gandhi Institute of Medical Sciences,2006,Recognized
18.3143183,83.8888228,Rajiv Gandhi Institute of Medical Sciences,2008,Recognized
15.4882213,80.0478566,Rajiv Gandhi Institute of Medical Sciences,2011,Recognized
19.2183307,72.9780897,Rajiv Gandhi Medical College and Chhatrapati Shivaji Maharaj Hospital,1992,Recognized
28.4831243,79.2854579,Rajshree Medical Research Institute,2014,Not Recognized
26.449923,80.3318736,Rama Medical College and Hospital ,2008,Recognized
28.7305798,77.7758825,Rama Medical College Hospital and Research Centre,2011,Not Recognized
16.9791502,82.2372774,Rangaraya Medical College,1958,Recognized
24.8158966,93.922828,Regional Institute of Medical Sciences,1972,Recognized
22.6034553,88.3782533,RG Kar Medical College,1916,Recognized
23.2599333,77.412615,RKDF Medical College Hospital and Research Centre,2014,Not Recognized
28.3670355,79.4304381,Rohilkhand Medical College and Hospital,2006,Recognized
26.9124336,75.7872709,RUHS College of Medical Sciences,2014,Recognized
19.58041,74.4659065,Rural Medical College,1984,Recognized
23.1793013,75.7849097,Ruxmaniben Deepchand Gardi Medical College,2001,Recognized
27.1880733,78.0063582,S N Medical College,1939,Recognized
14.4303504,75.9426951,S S Institute of Medical Sciencesand Research Centre,2006,Recognized
13.6408155,79.4073558,S V Medical College,1960,Recognized
16.7556515,78.0417037,S V S Medical College,1999,Recognized
16.1725355,75.6557206,S. Nijalingappa Medical College and HSK Hospital and Research Centre,2002,Recognized
15.4785694,78.4830934,Santhiram Medical College,2005,Recognized
28.694781,77.453017,Santosh Medical College,1996,Recognized
12.9715987,77.5945627,Sapthagiri Institute of Medical Sciences and Research Centre,2011,Not Recognized
28.7305798,77.7758825,Saraswati Institute of Medical Sciences,2008,Recognized
28.0042671,73.3319887,Sardar Patel Medical College,1959,Recognized
20.1359584,85.0843782,Sardar Rajas Medical College,2013,Not Recognized
12.8341735,79.7036402,Saveetha Medical College and Hospital,2008,Recognized
20.8246443,70.532443,SBKS Medical Instt. and Research Centre,2002,Recognized
20.4739324,85.891473,SCB Medical College,1944,Recognized
28.472574,77.4832052,School of Medical Sciences and Research,2009,Recognized
15.4178457,75.0496352,SDM Medical College ,2003,Recognized
19.0025392,72.8421316,Seth GS Medical College,1925,Recognized
17.3522974,78.3727044,Shadan Institute of Medical Sciences,2005,Recognized
28.0986857,76.9844677,Shaheed Hasan Khan Mewati Government Medical College,2013,Recognized
29.9911735,77.477319,Shaikh-UL-Hind Maulana Mahmood Hasan Medical College,2015,Recognized
34.1353207,74.8002642,Sher-I-Kashmir Instt. Of Medical Sciences,1988,Recognized
13.9326861,75.5668833,Shimoga Institute of Medical Sciences,2007,Recognized
28.4594965,77.0266383,Shree Guru Gobind Singh Tricentenary Medical College,2010,Recognized
16.8457349,75.7113361,Shri B M Patil Medical College,1986,Recognized
30.302495,78.017755,Shri Guru Ram Rai Institute of Medical and Health Sciences,2006,Recognized
26.1669805,85.3933732,Shri Krishna Medical College,1970,Recognized
28.3670355,79.4304381,Shri Ram Murti Smarak Institute of Medical Sciences,2005,Recognized
12.8341735,79.7036402,Shri Satya Sai Medical College and Research Institute,2008,Recognized
20.3887937,78.1204073,Shri Vasant Rao Naik Govt. Medical College,1989,Recognized
13.3762805,77.0969868,Shridevi Institute of Medical Sciences and Research Hospital,2013,Not Recognized
24.5317925,81.2997946,Shyam Shah Medical College,1963,Recognized
27.317301,88.597116,Sikkim Manipal Institute of Medical Sciences,2000,Recognized
24.8332708,92.7789054,Silchar Medical College,1968,Recognized
19.9974533,73.7898023,SMBT Institute of Medical Sciences and Research Centre,2014,Not Recognized
26.9056683,75.8188946,SMS Medical College,1947,Recognized
18.4557516,73.8216568,Smt. Kashibai Navale Medical College and General Hospital,2007,Recognized
23.022505,72.5713621,Smt. N.H.L.Municipal Medical College,1963,Recognized
13.0826802,80.2707184,Sree Balaji Medical College and Hospital,2003,Recognized
8.5241391,76.9366376,Sree Gokulam Medical College Trust and Research Foundation,2005,Recognized
8.0883064,77.5384507,Sree Mookambika Institute of Medical Sciences,2006,Recognized
10.1566973,76.2823055,Sree Narayana Instt. of Medical Sciences,2009,Recognized
8.5241391,76.9366376,Sree Uthradom Thiurnal Academy of Medical Sciences,2006,Recognized
22.7195687,75.8577258,Sri Aurobindo Medical College and Post Graduate Institute ,2003,Recognized
20.8638142,74.761869,Sri Bhausaheb Hire Government Medical College,1988,Recognized
13.1322605,78.1745235,Sri Devaraj URS Medical College,1986,Recognized
31.6153665,74.8819618,Sri Guru Ram Das Institute of Medical Sciences and Research,1997,Recognized
11.937351,79.736833,Sri Lakshmi Narayana Institute of Medical Sciences,2006,Recognized
11.921612,79.628211,Sri Manakula Vinayagar Medical College and Hospital,2006,Recognized
13.0182099,80.1089895,Sri Muthukumaran Medical College,2010,Not Recognized
13.6287557,79.4191795,Sri Padmavathi Medical College for Women,2014,Recognized
13.0826802,80.2707184,Sri Ramachandra Medical College and Research Institute,1985,Recognized
13.3460312,77.0570339,Sri Siddhartha Medical College,1988,Recognized
11.9138598,79.8144722,Sri Venkateswaraa Medical College,2007,Recognized
13.012053,74.796608,Srinivas Institute of Medical Research Centre,2011,Not Recognized
12.8341735,79.7036402,SRM Medical College Hospital and Research Centre,2005,Recognized
18.7334416,76.3680696,SRTR Medical College,1974,Recognized
12.9283851,77.6181888,St. Johns Medical College,1963,Recognized
13.1061123,80.2868837,Stanley Medical College,1838,Recognized
13.9329334,75.6171716,Subbaiah Institute of Medical Sciences,2012,Recognized
28.9844618,77.7064137,Subharti Medical College,1996,Recognized
21.1702401,72.8310607,Surat Municipal Institute of Medical Education and Research,1999,Recognized
9.4161082,76.3477836,T D Medical College,1963,Recognized
12.8601727,80.1359943,Tagore Medical College and Hospital,2010,Recognized
28.8315925,78.7782764,Teerthanker Mahaveer Medical College,2008,Recognized
19.0395436,73.0135382,Terna Medical College,1991,Recognized
26.6528495,92.7925592,Tezpur Medical College and Hospital,2014,Recognized
10.7584048,79.1082784,Thanjavur Medical College,1959,Recognized
12.9715987,77.5945627,The Oxford Medical College,2014,Not Recognized
10.0103658,77.4768115,Theni Government Medical College,2006,Recognized
10.7713187,79.6369974,Thiruvarur Govt. Medical College,2010,Recognized
8.7880241,78.118313,Thoothukudi Medical College,2000,Recognized
8.715519,77.7555631,Tirunelveli Medical College,1965,Recognized
18.9730955,72.8215678,Topiwala National Medical College,1964,Recognized
8.8754784,76.6436398,Travancore Medical College,2009,Recognized
